DOC-1,pos,pos
DOC-10,pos,pos
DOC-100,nopos,pos
DOC-100,pos,pos
DOC-101,nopos,pos
DOC-101,pos,pos
DOC-102,nopos,nopos
DOC-103,nopos,nopos
DOC-104,nopos,nopos
DOC-105,nopos,nopos
DOC-106,nopos,nopos
DOC-107,nopos,nopos
DOC-108,nopos,pos
DOC-109,nopos,pos
DOC-11,nopos,nopos
DOC-110,nopos,pos
DOC-111,nopos,nopos
DOC-112,nopos,nopos
DOC-113,nopos,pos
DOC-114,nopos,pos
DOC-115,nopos,nopos
DOC-115,nopos,nopos
DOC-116,nopos,nopos
DOC-116,nopos,nopos
DOC-117,nopos,nopos
DOC-117,nopos,nopos
DOC-118,nopos,nopos
DOC-118,nopos,nopos
DOC-119,nopos,nopos
DOC-12,nopos,nopos
DOC-120,nopos,nopos
DOC-121,nopos,nopos
DOC-122,nopos,nopos
DOC-123,nopos,nopos
DOC-124,nopos,nopos
DOC-125,nopos,nopos
DOC-126,nopos,nopos
DOC-127,nopos,nopos
DOC-128,nopos,nopos
DOC-129,nopos,nopos
DOC-13,pos,nopos
DOC-130,nopos,nopos
DOC-132,nopos,nopos
DOC-133,nopos,nopos
DOC-134,pos,pos
DOC-135,pos,pos
DOC-136,pos,pos
DOC-137,pos,pos
DOC-138,pos,pos
DOC-139,pos,pos
DOC-14,pos,nopos
DOC-140,nopos,nopos
DOC-141,nopos,nopos
DOC-142,nopos,nopos
DOC-143,nopos,nopos
DOC-144,nopos,nopos
DOC-145,nopos,nopos
DOC-146,nopos,nopos
DOC-147,nopos,nopos
DOC-148,nopos,nopos
DOC-149,nopos,nopos
DOC-15,nopos,nopos
DOC-150,nopos,nopos
DOC-16,pos,nopos
DOC-17,pos,pos
DOC-18,pos,nopos
DOC-19,pos,pos
DOC-2,pos,pos
DOC-20,pos,nopos
DOC-21,pos,pos
DOC-22,pos,nopos
DOC-23,pos,pos
DOC-24,pos,nopos
DOC-25,nopos,nopos
DOC-26,nopos,nopos
DOC-27,nopos,nopos
DOC-28,nopos,nopos
DOC-29,nopos,nopos
DOC-3,pos,pos
DOC-30,nopos,nopos
DOC-31,nopos,nopos
DOC-32,pos,pos
DOC-33,nopos,nopos
DOC-34,nopos,nopos
DOC-35,nopos,nopos
DOC-36,nopos,nopos
DOC-37,nopos,nopos
DOC-38,nopos,nopos
DOC-39,nopos,nopos
DOC-4,pos,pos
DOC-40,nopos,nopos
DOC-41,pos,nopos
DOC-42,pos,pos
DOC-43,pos,pos
DOC-44,nopos,nopos
DOC-45,nopos,nopos
DOC-46,nopos,nopos
DOC-47,nopos,nopos
DOC-48,nopos,nopos
DOC-49,pos,pos
DOC-5,pos,pos
DOC-50,pos,nopos
DOC-51,nopos,nopos
DOC-52,nopos,nopos
DOC-53,nopos,pos
DOC-54,nopos,pos
DOC-55,nopos,nopos
DOC-56,nopos,nopos
DOC-57,nopos,nopos
DOC-58,nopos,nopos
DOC-59,nopos,nopos
DOC-6,pos,pos
DOC-60,nopos,nopos
DOC-61,nopos,nopos
DOC-62,nopos,nopos
DOC-63,nopos,nopos
DOC-64,nopos,nopos
DOC-65,nopos,nopos
DOC-66,nopos,nopos
DOC-67,nopos,nopos
DOC-68,pos,nopos
DOC-69,pos,pos
DOC-7,pos,pos
DOC-70,nopos,nopos
DOC-71,nopos,nopos
DOC-72,nopos,nopos
DOC-73,nopos,nopos
DOC-74,nopos,nopos
DOC-75,nopos,nopos
DOC-76,nopos,nopos
DOC-77,nopos,nopos
DOC-78,nopos,nopos
DOC-79,nopos,nopos
DOC-8,pos,pos
DOC-80,nopos,nopos
DOC-81,nopos,nopos
DOC-82,pos,pos
DOC-83,pos,pos
DOC-84,nopos,nopos
DOC-85,pos,pos
DOC-86,pos,pos
DOC-87,pos,pos
DOC-88,pos,pos
DOC-89,nopos,pos
DOC-9,pos,pos
DOC-90,nopos,pos
DOC-91,nopos,pos
DOC-92,nopos,pos
DOC-93,nopos,pos
DOC-94,nopos,nopos
DOC-95,nopos,pos
DOC-96,nopos,nopos
DOC-97,nopos,nopos
DOC-98,nopos,nopos
DOC-98,pos,pos
DOC-99,nopos,nopos
DOC-99,pos,pos
